Pergunta;Resposta esperada;GPT 4o;GPT 4o (s);DeepSeek R1;DeepSeek R1 (s);LLama 4 Scout;LLama 4 Scout (s);Gemini 2.0 Flash;Gemini 2.0 Flash (s);Gemma 3n;Gemma 3n (s);Phy 4;Phy 4 (s);Qwen3-235b;Qwen3-235b (s)
Como eu calculo qual é o período em que eu estou?;Art. 19 - Define-se como período do estudante aquele até o qual a soma da carga horária de unidades curriculares em dependência, totalize 240 (duzentas e quarenta) horas ou mais, não contemplando: estágio curricular obrigatório, atividades complementares ;Para calcular o seu período, você deve considerar a duração do seu curso em semestres e a data do seu ingresso na UTFPR. O cálculo deve levar em conta as diretrizes estabelecidas no regulamento em relação ao prazo máximo para conclusão do curso correspondente à duração do seu curso.;2,28;Com base nos documentos fornecidos, não é possível determinar como calcular qual período o aluno está cursando atualmente. Os documentos especificam apenas os prazos máximos para conclusão dos cursos por semestre e condições para prorrogação, mas não trazem critérios para identificar o período corrente do aluno.;8,41;"Para calcular o período em que você está, é necessário considerar a data do seu ingresso na UTFPR e o prazo máximo para conclusão do curso estabelecido no regulamento. 

- Verifique a duração do seu curso.
- Consulte a tabela do Artigo mencionado nos documentos para verificar o prazo máximo de conclusão do seu curso.
- Subtraia o número de semestres que já você concluiu do prazo máximo de conclusão do curso.

Se você tiver mais detalhes sobre a data de ingresso e a duração do curso, posso fornecer um cálculo mais preciso.";3,33;"Para efeito de cálculo do prazo máximo para conclusão do curso será considerada a data do ingresso do aluno na UTFPR.
";1,99;"

Para efeito de cálculo do prazo máximo para conclusão do curso será considerada a data do ingresso do aluno na UTFPR.";5,34;"Para calcular se está em risco de jubilamento, considere:

1. Identifique a duração do seu curso:
   - Mais de 8 semestres = 16 semestres
   - 7 ou 8 semestres = 12 semestres
   - Até 6 semestres = 10 semestres

2. Considere a data de seu ingresso na UTFPR para o cálculo do prazo máximo.

3. Considere se há extensões possíveis:
   - Até 50% de extensão nas condições de necessidades educativas específicas ou força maior.

4. Você está em risco de jubilamento se falta um período letivo para atingir o prazo máximo de conclusão do curso.";4,67;"O cálculo do período em que você está é baseado na data de ingresso na UTFPR e na duração total do curso, conforme estabelecido no regulamento do seu curso. Para cursos de tecnologia, a divisão é a seguinte:

- Cursos com duração de mais de 8 até 16 semestres;
- Cursos com duração de 7 e 8 semestres - 12 semestres;
- Cursos com duração de até 6 semestres - 10 semestres.

Além disso, alunos com necessidades educacionais específicas ou casos de força maior podem ter um prazo dilatado em até 50% do tempo original. Sempre é considerada a data de ingresso do aluno na instituição para todos esses cálculos.";8,59
Como é calculado o coeficiente absoluto?;"O coeficiente de rendimento absoluto será calculado de acordo com a Equação 1 e será u?lizado nos editais que envolvem apenas o curso do estudante.
 
Sendo:
CR = coeficiente de rendimento absoluto;
NF = nota final na unidade curricular, expressa de 0,0 a ";"O coeficiente de rendimento absoluto é calculado pela Equação 1, onde:

CR = coeficiente de rendimento absoluto;
NF = nota final na unidade curricular, expressa de 0,0 a 10,0;
CH = carga horária total da unidade curricular, em horas;
k = número total de unidades curriculares cursadas.";2,16;"O coeficiente de rendimento absoluto (CR) é calculado pela soma do produto da nota final (NF) pela carga horária (CH) de cada unidade curricular, dividida pela soma das cargas horárias de todas as unidades curriculares cursadas.  

A fórmula é:

$$  
\text{CR} = \frac{\sum (\text{NF} \times \text{CH})}{\sum \text{CH}}  
$$

Sendo:  
- **NF**: Nota final na unidade curricular (0,0 a 10,0),  
- **CH**: Carga horária da unidade curricular (em horas).";13,83;"O coeficiente de rendimento absoluto (CR) é calculado de acordo com a Equação 1: 

CR = ? (NF * CH) / ? CH 

Sendo:
- CR = coeficiente de rendimento absoluto;
- NF = nota final na unidade curricular, expressa de 0,0 a 10,0;
- CH = carga horária total da unidade curricular, em horas;
- k = número total de unidades curriculares cursadas.";2,71;"O coe?ciente de rendimento absoluto será calculado de acordo com a Equação 1 e será utilizado nos editais que envolvem apenas o curso do estudante.
Equação 1:
Sendo:
CR = coe?ciente de rendimento absoluto;
NF = nota ?nal na unidade curricular, expressa de 0,0 a 10,0;
CH = carga horária total da unidade curricular, em horas;
k = número total de unidades curriculares cursadas.
";2,44;"
O coeficiente de rendimento absoluto (CR) é calculado de acordo com a Equação 1, sendo:

CR = coe?ciente de rendimento absoluto;
NF = nota ?nal na unidade curricular, expressa de 0,0 a 10,0;
CH = carga horária total da unidade curricular, em horas;
k = número total de unidades curriculares cursadas.";2,73;"O coeficiente de rendimento absoluto (CR) é calculado de acordo com a Equação 1, que considera a nota final na unidade curricular (NF), expressa de 0,0 a 10,0; a carga horária total da unidade curricular (CH), em horas; e o número total de unidades curriculares cursadas (k).";3,11;O coeficiente de rendimento absoluto (CR) é calculado utilizando a Equação 1, considerando a nota final (NF) e a carga horária total (CH) de cada unidade curricular cursada, expressas de 0,0 a 10,0 e em horas, respectivamente. O cálculo envolve a soma ponderada das notas finais multiplicadas pelas cargas horárias, dividida pelo total das cargas horárias cursadas.;5,55
Como é calculado o coeficiente normalizado?;"O coeficiente de rendimento normalizado do estudante será calculado de acordo com a Equação 2 e será utilizado para fins de matrícula e em editais que envolvam mais de um curso.
 
Sendo:
CRN = coeficiente de rendimento normalizado;
CR = coeficiente de ren";O coeficiente de rendimento normalizado do estudante é calculado de acordo com a Equação 2, que utiliza o coeficiente de rendimento absoluto.;1,65;O coeficiente de rendimento normalizado (CRN) é calculado pela fórmular: **CRN = CR / 10**.;9,98;"Não está disponível a fórmula para calcular o coeficiente de rendimento normalizado, pois os documentos fornecidos não apresentam a Equação 2 completa. Apenas apresentam a seguinte informação:

CRN = coeficiente de rendimento normalizado;
CR = coeficiente de rendimento absoluto;";1,71;"O coeficiente de rendimento normalizado do estudante será calculado de acordo com a Equação 2 e será utilizado para fins de matrícula e em editais que envolvam mais de um curso.
Equação 2:
Sendo:
CRN = coeficiente de rendimento normalizado;
CR = coeficiente de rendimento absoluto;
";2,32;"CRN = coe?ciente de rendimento normalizado;
CR = coe?ciente de rendimento absoluto;";3,18;O coeficiente de rendimento normalizado do estudante será calculado de acordo com a Equação 2 e será utilizado para fins de matrícula e em editais que envolvam mais de um curso. A Equação 2 não é detalhada nos documentos fornecidos.;1,97;O coeficiente de rendimento normalizado (CRN) é calculado de acordo com a Equação 2 e será utilizado para fins de matrícula e em editais que envolvam mais de um curso.;3,64
O que significa ficar dependente em uma disciplina?;Considera-se como dependência a unidade curricular na matriz curricular do curso, na qual o estudante tenha reprovado ou que não tenha cursado até o período imediatamente anterior ao que se encontra.;Significa que o aluno reprovou ou não cursou a disciplina/unidade curricular até o período imediatamente anterior ao que se encontra.;1,89;Ficar dependente em uma disciplina significa que o aluno reprovou ou não cursou essa disciplina/unidade curricular até o período imediatamente anterior ao que se encontra.;11,49;Considera-se como dependência a disciplina/unidade curricular no currículo do curso, na qual o aluno tenha reprovado ou que não tenha cursado até o período imediatamente anterior ao que se encontra.;2,42;"Considera-se como dependência a disciplina/unidade curricular no currículo do curso, na qual o aluno tenha reprovado ou que não tenha cursado até o período imediatamente anterior ao que se encontra.
";2,38;"
Considera-se como dependência a disciplina/unidade curricular no currículo do curso, na qual o aluno tenha reprovado ou que não tenha cursado até o período imediatamente anterior ao que se encontra.";2,58;Considera-se como dependência a disciplina/unidade curricular no currículo do curso, na qual o aluno tenha reprovado ou que não tenha cursado até o período imediatamente anterior ao que se encontra.;2,8;Ficar dependente em uma disciplina/unidade curricular significa que o aluno reprovou nessa disciplina ou não a cursou até o período imediatamente anterior ao que se encontra no curso.;16,08
Ao solicitar a matrícula, eu tenho vaga garantida?;Não, o preenchimento das turmas com vagas para estudantes sem presença obrigatória, seguirá os critérios estabelecidos no Art. 24 do RODP.;Não, a matrícula está condicionada à existência de vagas.;1,45;Não, a vaga não é garantida. A matrícula está condicionada à existência de vagas disponíveis.;10,31;Não, a matrícula é condicionada à existência de vagas.;2,07;"Não, a matrícula está condicionada à existência de vagas.
";2,42;"
A matrícula é condicionada à existência de vagas.";2,99;A matrícula é condicionada à existência de vagas.;2,52;A matrícula não garante vaga, pois é condicionada à existência de vagas disponíveis.;5,79
Posso me matricular em disciplinas de outros períodos do meu curso?;Observados os pré-requisitos e a existência de vagas, o estudante poderá adiantar unidades curriculares da sua matriz curricular previstas para os dois períodos posteriores ao que se encontra.;Sim, você pode se matricular em disciplinas de outros períodos do seu curso, observados os pré-requisitos e a existência de vagas. O adiantamento é permitido até 2 períodos posteriores ao seu período atual, ou até 1 período posterior nos cursos anuais em andamento.;2,09;Sim, observados os pré-requisitos e a existência de vagas, você pode adiantar disciplinas de períodos posteriores até 2 (dois) períodos posteriores ao seu período atual, ou até 1 (um) período posterior em cursos anuais em andamento.;11,46;Sim, é possível adiantar disciplinas/unidades curriculares de seu currículo previstas para os períodos posteriores ao que se encontra, desde que observados os pré-requisitos e a existência de vagas. O adiantamento será concedido até 2 períodos posteriores ao período do aluno, ou até 1 período posterior em cursos anuais.;2,48;"Sim, desde que observados os pré-requisitos e a existência de vagas, o aluno poderá adiantar disciplinas/unidades curriculares de seu currículo previstas para os períodos posteriores ao que se encontra. O adiantamento de disciplinas/unidades curriculares será concedido até 2 (dois) períodos posteriores ao período do aluno ou, nos cursos anuais, em andamento, será concedido até 1 (um) período posterior ao período do aluno.
";2,62;"
Sim, o aluno poderá adiantar disciplinas/unidades curriculares de seu currículo previstas para os períodos posteriores ao que se encontra, observados os pré-requisitos e a existência de vagas. O adiantamento será concedido até 2 (dois) períodos posteriores ao período do aluno, ou até 1 (um) período posterior em cursos anuais em andamento.";8,2;Observados os pré-requisitos e a existência de vagas, você poderá adiantar disciplinas/unidades curriculares de seu currículo previstas para os períodos posteriores ao que se encontra, até 2 (dois) períodos posteriores ao seu período atual. Nos cursos anuais, em andamento, o adiantamento será concedido até 1 (um) período posterior ao seu período atual.;2,18;Sim, desde que observados os pré-requisitos, a existência de vagas e que os horários das turmas não sejam sobrepostos. O adiantamento é permitido até 2 períodos posteriores ao do aluno nos cursos regulares e até 1 período nos cursos anuais em andamento.;6,14
Qual é a ordem de preenchimento das vagas das disciplinas?;"As unidades curriculares serão ofertadas por turmas e por curso e o preenchimento de vagas obedecerá à seguinte prioridade:
I - estudantes formandos;
II - estudantes do curso:
a) do turno e do período a que pertence a unidade curricular, que não tenha rep";A matrícula será realizada de acordo com as instruções de matrícula vigentes, levando-se em consideração as disciplinas/unidades curriculares convalidadas e obedecendo as exigências do edital do processo seletivo.;1,79;Com base nos documentos fornecidos, não há informações sobre a ordem de preenchimento das vagas das disciplinas.;13,04;Não há informações nos documentos fornecidos sobre a ordem de preenchimento das vagas das disciplinas.;1,82;"O processo de matrícula seguirá Instrução Normativa específica da Pró-Reitoria de Graduação e Educação Profissional, bem como as instruções de matrícula, publicadas a cada período letivo, contendo as disciplinas/unidades curriculares a serem ofertadas, as turmas, o número de vagas, os horários de oferta de cada turma e demais informações necessárias.
";2,44;"
O documento não especifica a ordem de preenchimento das vagas das disciplinas, apenas que o aluno será matriculado em todas as disciplinas do primeiro período cumpridas as exigências do edital.";4,55;O documento fornecido não especifica uma ordem de preenchimento das vagas das disciplinas.;2,81;Os documentos fornecidos não especificam a ordem de preenchimento das vagas das disciplinas. Apenas mencionam que a matrícula ocorre conforme as instruções vigentes e a existência de vagas, sem detalhar critérios sequenciais ou prioritários para o preenchimento.;7,6
O que é aluno formando?;Entende-se por formando, em um determinado período letivo, o estudante que se encontra apto a concluir todas as unidades curriculares e demais atividades acadêmicas, previstas na matriz curricular do seu curso.;Entende-se por formando, em um determinado período letivo, o estudante que encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas, previstas na matriz curricular do seu curso.;2,16;Aluno formando é o estudante que, em um determinado período letivo, encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas previstas no currículo do seu curso.;11,42;Entende-se por formando, em um determinado período letivo, o estudante que encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas, previstas na matriz curricular do seu curso.;2,26;"Entende-se por formando, em um determinado período letivo, o estudante que encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas, previstas na matriz curricular do seu curso.
";2,53;"
O estudante que encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas, previstas na matriz curricular do seu curso.";4,22;Entende-se por formando, em um determinado período letivo, o estudante que encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas, previstas na matriz curricular do seu curso.;3,58;Aluno formando é aquele que, em um determinado período letivo, encontra-se apto a concluir todas as unidades curriculares e demais atividades acadêmicas previstas na matriz curricular do seu curso.;7,24
O que é convalidação de disciplina?;Entende-se por convalidação o aproveitamento de conteúdos de unidades curriculares nas quais o estudante tenha sido aprovado, cursados no mesmo nível de ensino ou superior, desde que atendidas as condições expostas nos incisos I a IV deste artigo.;Convalidação é o aproveitamento de conteúdos de disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursadas em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior, desde que atendidas certas condições de similaridade de conteúdos e carga horária.;3,83;Convalidação é o aproveitamento de conteúdos de unidades curriculares nas quais o estudante tenha sido aprovado, cursados no mesmo nível de ensino ou superior, em outra instituição ou contexto acadêmico.;12,34;Entende-se por convalidação o aproveitamento de conteúdos de disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursados em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior.;3,28;"Entende-se por convalidação o aproveitamento de conteúdos de disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursados em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior, desde que atendidas as condições expostas nos itens I a III.
";2,38;",
Entende-se por convalidação o aproveitamento de conteúdos de disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursados em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior, desde que atendidas as condições expostas nos itens I a III.";6;Entende-se por convalidação o aproveitamento de conteúdos de disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursados em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior, desde que atendidas as condições estabelecidas.;5,1;Convalidação de disciplina é o aproveitamento de conteúdos de disciplinas ou unidades curriculares nas quais o aluno tenha sido aprovado, cursados em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior, desde que atendidas as condições estabelecidas.;3,79
Quais disciplinas podem ser convalidadas?;"Estudantes matriculados em cursos de graduação da UTFPR poderão requerer convalidação de unidades curriculares quando:
I - Cursaram unidades curriculares em outros cursos superiores da UTFPR;
II - Cursaram unidades curriculares em cursos superiores de out";Podem ser convalidadas disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursadas em outro registro, currículo, curso ou instituição, desde que atendidas as condições de similaridade de conteúdos e carga horária, e as unidades de TCC 1 e TCC 2, mediante publicações ou proteção intelectual.;2,46;Qualquer disciplina/unidade curricular que atenda a pelo menos 75% de similaridade de conteúdo e carga horária com as disciplinas do curso atual, conforme análise dos Planos de Ensino. Especificamente, as unidades curriculares de TCC 1 e TCC 2 também podem ser convalidadas mediante publicação acadêmica (artigo em conferência ou periódico com Qualis) ou proteção intelectual (Registro de Software ou Pedido de Patente), desde que realizadas após o ingresso no curso.;13,32;Disciplinas/unidades curriculares nas quais o aluno tenha sido aprovado, cursadas em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior.;2,1;"Será concedida a convalidação da unidade curricular de TCC 1 e do componente curricular de TCC 2.
";2,18;TCC 1 e TCC 2.;1,67;As disciplinas que podem ser convalidadas são aquelas nas quais o aluno tenha sido aprovado, cursadas em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior, desde que atendidas as condições expostas nos itens relevantes. Além disso, a unidade curricular de TCC 1 e o componente curricular de TCC 2 podem ser convalidados na área de Ciência da Computação sob condições específicas, conforme descrito na Seção 3.;6,1;As disciplinas que podem ser convalidadas são aquelas em que o aluno tenha sido aprovado e que possuam, no mínimo, 75% de similaridade de conteúdos e de carga horária com as disciplinas/unidades curriculares do curso em que o aluno está matriculado, mediante análise dos Planos de Ensino. Além disso, a convalidação pode ocorrer com a unidade curricular de TCC 1 e o componente curricular de TCC 2, desde que atendidos os requisitos especificados no regulamento.;4,09
Quando pode ser interessante fazer matrícula em turmas sem presença obrigatória?;Turmas SPO não bloqueiam o horário do estudante. Dessa forma, você poderá fazer a matrícula de uma disciplina SPO no mesmo horário de uma outra disciplina regular.;Pode ser interessante fazer matrícula em turmas sem presença obrigatória para estudantes que já foram reprovados na disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%.;1,75;Para estudantes reprovados em uma disciplina com Nota Final igual ou superior a 4,0 e frequência mínima de 75%.;10,99;Quando o estudante teve frequência mínima de 75% e nota final igual ou superior a 4,0.;2,7;"Alunos que foram reprovados na disciplina com nota final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).
";2,44;"

Alunos que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).";3,21;Pode ser interessante fazer matrícula em turmas sem presença obrigatória quando o aluno foi reprovado na disciplina com nota final igual ou superior a 4,0 (quatro) e teve frequência mínima de 75% (setenta e cinco por cento). Essas turmas são destinadas a alunos que atendem a esses critérios.;2,57;Quando o estudante deseja cursar uma disciplina na qual tenha sido reprovado anteriormente com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%.;3,44
Quantas disciplinas eu posso me matricular em turma sem presença obrigatória?;A cada período letivo, o estudante poderá matricular-se em, no máximo, 2 disciplinas na condição de estudante sem presença obrigatória.;O documento não especifica um limite para o número de disciplinas em que um aluno pode se matricular em turmas sem presença obrigatória. Assim, não é possível determinar uma quantidade exata.;2,05;"Não há limite explícito de disciplinas estabelecido nos documentos. A possibilidade de matrícula em turmas sem presença obrigatória depende de:  
1. A disciplina ter sido definida pelo Colegiado de Curso para oferecer esse tipo de turma (§2º dos Documentos 1/2 e §2º do Documento 3).  
2. O aluno atender aos critérios de reprovação anterior com nota igual ou superior a 4,0 e frequência mínima de 75% (§1º dos Documentos 1/2 e §1º do Documento 3).  
3. Existência de vagas disponíveis nessa modalidade.";13,81;Não há informações suficientes para determinar um número máximo de disciplinas. Entretanto, os alunos que podem cursar disciplinas/unidades curriculares sem presença obrigatória são aqueles que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%. As disciplinas que poderão ter turmas com vagas destinadas a alunos sem presença obrigatória deverão ser definidas pelo Colegiado de Curso.;2,43;"O documento não especifica um limite para o número de disciplinas em que você pode se matricular sem presença obrigatória.
";2,35;As disciplinas que poderão ter turmas com vagas destinadas a alunos sem presença obrigatória deverão ser definidas pelo Colegiado de Curso. Poderão ser ofertadas turmas nas quais todas as vagas destinam-se a alunos sem presença obrigatória.;3,64;O documento não especifica um número máximo de disciplinas nas quais um aluno pode se matricular em turmas sem presença obrigatória. Conforme as informações fornecidas, um aluno poderá cursar tais disciplinas se reprovado com nota igual ou superior a 4,0 e frequência mínima de 75%, sendo as disciplinas definidas pelo Colegiado de Curso. No entanto, o cumprimento das avaliações presenciais programadas é obrigatório.;5,87;O número de disciplinas em turmas com presença não obrigatória disponíveis para matrícula não é especificado no regulamento. A definição das disciplinas que podem oferecer esse formato compete ao Colegiado do Curso, conforme §2º do documento. Portanto, a disponibilidade varia conforme a decisão do colegiado e a estrutura do curso.;8,43
Quem faz a convalidação de disciplinas?;O coordenador do curso, com o suporte dos professores da coordenação;Alunos matriculados em cursos de graduação da UTFPR.;1,59;A convalidação de disciplinas é realizada pela própria instituição de ensino (UTFPR), através da análise dos Planos de Ensino, conforme estabelecido no regulamento.;12,41;Alunos matriculados em cursos de graduação da UTFPR.;1,56;"Alunos matriculados em cursos de graduação da UTFPR.
";1,95;Alunos matriculados em cursos de graduação da UTFPR.;2,28;Alunos matriculados em cursos de graduação requerem a convalidação de disciplinas/unidades curriculares.;2;A convalidação de disciplinas é feita com base na análise dos Planos de Ensino das disciplinas/unidades curriculares cursadas, conforme estabelecido no regulamento.;2,94
Quais os critérios usados para convalidar ou não uma disciplina?;Em geral, a convalidação dos conteúdos cursados poderá ocorrer se houver similaridade de conteúdos e de carga horária entre as unidades curriculares cursadas e aquelas pertencentes à matriz curricular do curso em que o estudante está matriculado, tomando-;"Os critérios para convalidar uma disciplina incluem: 

1. O aluno deve ter sido aprovado na disciplina/unidade curricular cursada em outro registro, currículo, curso ou instituição, no mesmo nível de ensino ou superior.
2. Deve haver, no mínimo, 75% de similaridade de conteúdos e de carga horária entre as disciplinas/unidades curriculares cursadas e aquelas do currículo do curso em que o aluno está matriculado, com base na análise dos Planos de Ensino.
3. Quando mais de uma disciplina for utilizada para convalidação, a nota e a frequência devem ser calculadas pela média ponderada.";3,68;"Para convalidar uma disciplina, são necessários:  
1. Aprovação na disciplina cursada em outro registro, currículo, curso ou instituição de mesmo nível ou superior;  
2. Mínimo de 75% de similaridade de conteúdos e carga horária entre as disciplinas;  
3. Análise dos Planos de Ensino para comprovar a equivalência.";10,19;"Os critérios usados para convalidar ou não uma disciplina incluem:

- A similaridade de conteúdos e carga horária entre as disciplinas cursadas e as pertencentes ao currículo do curso em que o aluno está matriculado deve ser de no mínimo 75%.
- A análise dos Planos de Ensino das disciplinas/unidades curriculares cursadas.
- Se mais de uma disciplina cursada for utilizada para convalidação, a nota e a frequência deverão ser obtidas pela média ponderada das notas.
- Nos casos em que não existirem informações sobre a frequência nas disciplinas cursadas, deve ser considerada uma frequência de 75%.";5,41;"A convalidação dos conteúdos cursados poderá ocorrer se atendida, no mínimo, 75% (setenta e cinco por cento) de similaridade de conteúdos e de carga horária entre as disciplinas/unidades curriculares cursadas e aquelas pertencentes ao currículo do curso em que o aluno está matriculado, por meio da análise dos Planos de Ensino das disciplinas/unidades curriculares cursadas.
";2,48;A convalidação dos conteúdos cursados poderá ocorrer se atendida, no mínimo, 75% (setenta e cinco por cento) de similaridade de conteúdos e de carga horária entre as disciplinas/unidades curriculares cursadas e aquelas pertencentes ao currículo do curso em que o aluno está matriculado, por meio da análise dos Planos de Ensino das disciplinas/unidades curriculares cursadas.;2,95;Para que a convalidação de disciplinas ocorra, deve ser atendida uma similaridade mínima de 75% em conteúdo e carga horária entre as disciplinas cursadas e aquelas pertencentes ao currículo do curso em que o aluno está matriculado. A análise é feita por meio dos Planos de Ensino das disciplinas. Quando mais de uma disciplina é utilizada para a convalidação, a nota e a frequência são obtidas pela média ponderada das notas. Se não houver informações sobre a frequência, é considerada uma frequência de 75%. Os pedidos de convalidação são analisados pela Coordenação de Curso e homologados pela Diretoria de Graduação e Educação Profissional.;6,13;"Para convalidar uma disciplina, os critérios incluem:  
1. **Similaridade mínima de 75%** entre os conteúdos e a carga horária das disciplinas cursadas e as do currículo atual, verificada por meio dos Planos de Ensino.  
2. **Média ponderada** das notas e frequências quando mais de uma disciplina é utilizada para convalidar uma única disciplina no currículo.  
3. **Frequência mínima de 75%** nas disciplinas cursadas; caso não haja registro de frequência, considera-se automaticamente 75%.  
A convalidação também depende da análise e aprovação pela Coordenação do Curso e homologação pela Diretoria de Graduação e Educação Profissional.";13,51
Posso usar mais de uma disciplina cursada para convalidar uma disciplina?;Sim. Quando mais de uma unidade curricular cursada for utilizada para convalidação de uma unidade curricular do curso em que o estudante está matriculado, a nota e a frequência, se necessária, deverão ser obtidas pela média ponderada das notas e das frequ;Sim, você pode usar mais de uma disciplina cursada para convalidar uma disciplina, e a nota e a frequência deverão ser obtidas pela média ponderada das disciplinas utilizadas.;2,55;Sim, é possível utilizar mais de uma disciplina cursada para convalidar uma única disciplina, conforme estabelecido no §3º dos documentos apresentados.;7,48;Sim, desde que a nota e a frequência sejam obtidas pela média ponderada das disciplinas utilizadas para convalidação.;1,69;"Sim, quando mais de uma disciplina/unidade curricular cursada for utilizada para convalidação de uma disciplina/unidade curricular do curso em que o aluno está matriculado, a nota e a frequência deverão ser obtidas pela média ponderada das disciplinas.
";2,23;Quando mais de uma disciplina/unidade curricular cursada for utilizada para convalidação de uma disciplina/unidade curricular do curso em que o aluno está matriculado, a nota e a frequência deverão ser obtidas pela média ponderada das.;3,59;Sim, é possível utilizar mais de uma disciplina cursada para convalidar uma disciplina, desde que a nota e a frequência sejam obtidas pela média ponderada das disciplinas utilizadas para a convalidação.;1,95;Sim, é possível usar mais de uma disciplina cursada para convalidar uma disciplina. Nesse caso, a nota e a frequência serão obtidas pela média ponderada das disciplinas utilizadas.;2,44
Minha nota na disciplina é via conceito. O que é feito para convalidar nesse caso?;Nos casos em que o critério de promoção nas unidades curriculares cursadas for expresso por meio de conceitos, estes deverão ser convertidos em notas.;Os conceitos devem ser convertidos em notas para que a convalidação possa ocorrer.;1,39;"Os conceitos devem ser convertidos em notas para a convalidação.  

**Base documental (Documento 3, §4º):**  
*""§ 4º Nos casos em que o critério de promoção nas unidades curriculares cursadas for expresso por meio de conceitos, estes deverão ser convertidos em notas.""*";10,53;Nos casos em que o critério de promoção nas unidades curriculares cursadas for expresso por meio de conceitos, estes deverão ser convertidos em notas.;1,98;"Nos casos em que o critério de promoção nas unidades curriculares cursadas for expresso por meio de conceitos, estes deverão ser convertidos em notas.
";2,24;"

Nos casos em que o critério de promoção nas unidades curriculares cursadas for expresso por meio de conceitos, estes deverão ser convertidos em notas.";4,41;Nos casos em que o critério de promoção nas unidades curriculares cursadas for expresso por meio de conceitos, estes deverão ser convertidos em notas para a convalidação.;1,97;Nos casos em que o critério de promoção nas disciplinas cursadas seja expresso por conceitos, estes devem ser convertidos em notas para a convalidação.;5,15
No meu histórico escolar não tem porcentagem de frequência. O que acontece nesse caso para convalidar?;Nos casos em que não existirem informações sobre a frequência/participação nas unidades curriculares cursadas, deve-se considerar frequência/participação de 75% (setenta e cinco por cento).;Para fins de verificação da frequência, não há abono de faltas ou compensação de frequência, exceto para os casos previstos em lei. É necessário seguir os procedimentos estabelecidos pela Pró-Reitoria de Graduação e Educação Profissional para abono de faltas ou compensação de frequência.;2,35;Os procedimentos para convalidação quando não há registro de porcentagem de frequência no histórico escolar são definidos em instrução própria da Pró-Reitoria de Graduação e Educação Profissional.;13,05;Não há informação nos documentos fornecidos sobre procedimentos específicos para convalidar a frequência quando a porcentagem de frequência não está registrada no histórico escolar. No entanto, de acordo com o Artigo 36 do documento 3, para efeito de verificação da frequência, não haverá abono de faltas ou compensação de frequência, exceto para os casos previstos em lei. Sugiro procurar a instituição de ensino para obter orientação específica.;1,99;"O documento fornecido não aborda especificamente a situação em que o histórico escolar não apresenta a porcentagem de frequência para fins de convalidação.
";2,22;Para efeito de verificação da frequência, não haverá abono de faltas ou compensação de frequência, exceto para os casos previstos em lei.;2,01;O documento não fornece informações específicas sobre o que acontece quando a porcentagem de frequência não está presente no histórico escolar para a convalidação. Destaca-se apenas que não haverá abono de faltas ou compensação de frequência, exceto para os casos previstos em lei. Recomenda-se consultar a Pró-Reitoria de Graduação e Educação Profissional ou a Coordenação do curso para obter instruções específicas sobre procedimentos de convalidação em casos sem porcentagem de frequência no histórico.;5,52;No histórico escolar, quando não consta a porcentagem de frequência, o procedimento para convalidação da compensação de faltas seguirá os critérios legais específicos e as orientações estabelecidas pela Diretoria de Graduação e Educação Profissional, conforme indicado no Art. 36, §1º, do Regulamento dos Cursos de Tecnologias de 2010.;4,94
